,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
156,happiness,01F_HA_C100_cell14rand_a.jpg,14,100,01F_HA_C100_cell14rand_b.jpg,f,right,39,01F_HA_C100_cell14rand_a.jpg
157,happiness,28M_HA_C100_cell14rand_a.jpg,14,100,28M_HA_C100_cell14rand_b.jpg,m,right,39,28M_HA_C100_cell14rand_a.jpg
158,fear,23M_FE_C100_cell14rand_a.jpg,14,100,23M_FE_C100_cell14rand_a.jpg,m,left,39,23M_FE_C100_cell14rand_b.jpg
159,happiness,23M_HA_C100_cell14rand_a.jpg,14,100,23M_HA_C100_cell14rand_b.jpg,m,right,39,23M_HA_C100_cell14rand_a.jpg
160,fear,26M_FE_C100_cell18rand_a.jpg,18,100,26M_FE_C100_cell18rand_b.jpg,m,right,40,26M_FE_C100_cell18rand_a.jpg
161,happiness,28M_HA_C100_cell18rand_a.jpg,18,100,28M_HA_C100_cell18rand_a.jpg,m,left,40,28M_HA_C100_cell18rand_b.jpg
162,fear,23M_FE_C100_cell18rand_a.jpg,18,100,23M_FE_C100_cell18rand_b.jpg,m,right,40,23M_FE_C100_cell18rand_a.jpg
163,fear,04F_FE_C100_cell18rand_a.jpg,18,100,04F_FE_C100_cell18rand_b.jpg,f,right,40,04F_FE_C100_cell18rand_a.jpg
164,happiness,22M_HA_C100_cell18rand_a.jpg,18,100,22M_HA_C100_cell18rand_b.jpg,m,right,41,22M_HA_C100_cell18rand_a.jpg
165,happiness,21M_HA_C100_cell18rand_a.jpg,18,100,21M_HA_C100_cell18rand_b.jpg,m,right,41,21M_HA_C100_cell18rand_a.jpg
166,fear,25M_FE_C100_cell18rand_a.jpg,18,100,25M_FE_C100_cell18rand_b.jpg,m,right,41,25M_FE_C100_cell18rand_a.jpg
167,fear,27M_FE_C100_cell18rand_a.jpg,18,100,27M_FE_C100_cell18rand_b.jpg,m,right,41,27M_FE_C100_cell18rand_a.jpg
168,happiness,08F_HA_C100_cell18rand_a.jpg,18,100,08F_HA_C100_cell18rand_b.jpg,f,right,42,08F_HA_C100_cell18rand_a.jpg
169,fear,06F_FE_C100_cell18rand_a.jpg,18,100,06F_FE_C100_cell18rand_a.jpg,f,left,42,06F_FE_C100_cell18rand_b.jpg
170,happiness,01F_HA_C100_cell18rand_a.jpg,18,100,01F_HA_C100_cell18rand_a.jpg,f,left,42,01F_HA_C100_cell18rand_b.jpg
171,fear,28M_FE_C100_cell18rand_a.jpg,18,100,28M_FE_C100_cell18rand_b.jpg,m,right,42,28M_FE_C100_cell18rand_a.jpg
172,fear,01F_FE_C100_cell18rand_a.jpg,18,100,01F_FE_C100_cell18rand_a.jpg,f,left,43,01F_FE_C100_cell18rand_b.jpg
173,happiness,03F_HA_C100_cell18rand_a.jpg,18,100,03F_HA_C100_cell18rand_a.jpg,f,left,43,03F_HA_C100_cell18rand_b.jpg
174,happiness,05F_HA_C100_cell18rand_a.jpg,18,100,05F_HA_C100_cell18rand_a.jpg,f,left,43,05F_HA_C100_cell18rand_b.jpg
175,happiness,27M_HA_C100_cell18rand_a.jpg,18,100,27M_HA_C100_cell18rand_b.jpg,m,right,43,27M_HA_C100_cell18rand_a.jpg
176,happiness,02F_HA_C100_cell18rand_a.jpg,18,100,02F_HA_C100_cell18rand_b.jpg,f,right,44,02F_HA_C100_cell18rand_a.jpg
177,fear,21M_FE_C100_cell18rand_a.jpg,18,100,21M_FE_C100_cell18rand_a.jpg,m,left,44,21M_FE_C100_cell18rand_b.jpg
178,fear,02F_FE_C100_cell18rand_a.jpg,18,100,02F_FE_C100_cell18rand_a.jpg,f,left,44,02F_FE_C100_cell18rand_b.jpg
179,fear,07F_FE_C100_cell18rand_a.jpg,18,100,07F_FE_C100_cell18rand_a.jpg,f,left,44,07F_FE_C100_cell18rand_b.jpg
180,happiness,04F_HA_C100_cell18rand_a.jpg,18,100,04F_HA_C100_cell18rand_b.jpg,f,right,45,04F_HA_C100_cell18rand_a.jpg
181,fear,05F_FE_C100_cell18rand_a.jpg,18,100,05F_FE_C100_cell18rand_b.jpg,f,right,45,05F_FE_C100_cell18rand_a.jpg
182,happiness,23M_HA_C100_cell18rand_a.jpg,18,100,23M_HA_C100_cell18rand_a.jpg,m,left,45,23M_HA_C100_cell18rand_b.jpg
183,fear,03F_FE_C100_cell18rand_a.jpg,18,100,03F_FE_C100_cell18rand_a.jpg,f,left,45,03F_FE_C100_cell18rand_b.jpg
